X [s],HR
0.076082,94
0.322358,94
0.568629,95
0.814906,95
1.061182,95
1.307455,95
1.55373,95
1.800005,95
2.046282,95
2.292553,95
2.538826,95
2.785103,95
3.031376,93
3.277653,93
3.523925,93
3.770203,92
4.016477,92
4.509026,90
4.755303,90
5.001576,90
5.247848,88
5.740397,87
5.986673,87
6.725496,86
7.218046,86
7.464324,86
7.710596,86
7.95687,86
8.203146,86
8.44942,86
8.941967,86
9.188248,86
9.434517,86
9.680793,87
9.927066,87
10.173345,87
10.419617,88
10.665891,88
10.91217,88
11.15844,88
11.404716,88
11.650989,89
11.89727,89
12.143537,89
12.636087,90
12.882363,91
13.128636,91
13.37491,91
13.86746,91
14.113737,92
14.36001,92
14.60629,92
14.852558,92
15.098834,92
15.591384,93
15.837657,93
16.33021,93
16.822758,93
17.069031,93
17.561581,93
17.807855,93
18.054129,93
18.300405,93
18.546679,93
18.792955,93
19.039231,93
19.285504,94
19.531777,94
20.024331,94
20.270602,94
20.516877,94
20.763154,94
21.009426,94
21.255699,94
21.501976,94
21.748251,94
22.240797,94
22.733347,94
22.979621,94
23.225898,94
23.472175,94
23.718448,94
23.964721,94
24.210996,94
24.457273,94
24.703546,94
25.196095,94
25.442369,94
25.688642,93
25.934917,93
26.181195,93
26.673742,93
26.920018,93
27.166296,93
27.658839,94
27.90512,94
28.151388,94
28.397665,94
28.643938,94
28.890216,95
29.136489,95
29.382761,95
29.875314,96
30.121588,96
30.367861,96
30.614142,96
31.106686,97
31.845508,97
32.091782,97
32.33806,97
32.584333,97
32.830609,97
33.076882,97
33.323161,97
33.569431,97
33.815707,97
34.061981,97
34.30826,96
34.554529,96
34.800805,96
35.047078,96
35.293352,96
35.785904,96
36.278453,96
36.524728,96
37.017281,96
37.26355,96
37.509826,96
37.756103,96
38.248648,96
38.741203,96
38.987474,96
39.480021,96
39.726298,96
39.972571,96
40.218847,96
40.465123,96
40.711397,96
40.957669,96
41.203946,96
41.696493,96
41.942769,96
42.189043,96
42.43532,96
42.681592,96
42.927868,96
43.174145,96
43.420417,96
43.66669,97
43.912967,97
44.159244,97
44.405516,97
44.651788,97
44.898063,97
45.144339,97
45.390613,97
45.636889,97
46.129438,98
46.621987,98
46.868264,98
47.114536,99
47.607091,99
47.853358,99
48.099633,99
48.34591,100
48.592187,100
49.084733,101
49.331009,101
49.57728,102
50.06983,102
50.31611,102
50.562379,102
50.808656,102
51.054929,102
51.301207,102
51.547479,102
51.793754,102
52.040029,102
52.286302,102
52.532578,101
52.778852,101
53.025131,101
53.2714,101
53.763949,101
54.010229,101
54.256497,101
54.749049,101
54.995323,101
55.241599,101
55.487873,101
55.734152,101
55.980421,102
57.211794,102
57.458074,102
57.704343,102
57.95062,102
58.196893,103
58.443173,103
58.689443,103
59.181991,103
59.428268,103
59.67454,103
59.920816,104
